iter	Logloss
0	0.6788205777
1	0.6646894619
2	0.6511307646
3	0.63879261
4	0.6269131825
5	0.6161401721
6	0.6067654629
7	0.5965127665
8	0.5869825483
9	0.577376783
10	0.5688952551
11	0.5619795181
12	0.5555533296
13	0.5477285447
14	0.5413928899
15	0.5349402832
16	0.5293195726
17	0.5234072615
18	0.5187580841
19	0.5133442318
20	0.5082984405
21	0.5035696831
22	0.4985964568
23	0.4944253376
24	0.4905115915
25	0.4863588697
26	0.4827221222
27	0.4794857515
28	0.4764483647
29	0.4736255251
30	0.4706466148
31	0.4676026642
32	0.4647664063
33	0.4625059953
34	0.4599223086
35	0.4576059531
36	0.4549204463
37	0.4526837039
38	0.450332663
39	0.4483093697
40	0.446215724
41	0.4443003862
42	0.4427177057
43	0.4407855857
44	0.4392144891
45	0.4375089309
46	0.4360509278
47	0.4344141647
48	0.4331244018
49	0.4319595922
50	0.4306053425
51	0.4290951233
52	0.4276625756
53	0.4264770426
54	0.4254254634
55	0.424461883
56	0.4233051898
57	0.4220756873
58	0.4209830411
59	0.4201877506
60	0.4193001746
61	0.418584435
62	0.4178735725
63	0.4167477552
64	0.4157392097
65	0.415044177
66	0.4142345724
67	0.4134271913
68	0.4127852332
69	0.4120557196
70	0.4112845314
71	0.4105297471
72	0.4098886901
73	0.4090616911
74	0.4083681131
75	0.4076286835
76	0.4070243698
77	0.4063859
78	0.4055825864
79	0.4051608226
80	0.4046866529
81	0.4042682704
82	0.4036526914
83	0.4031344208
84	0.4026214388
85	0.4021172081
86	0.4016289439
87	0.4011565716
88	0.400740856
89	0.4003217477
90	0.3999456605
91	0.3994464827
92	0.3990794759
93	0.3985967366
94	0.398253639
95	0.3978897717
96	0.3975232683
97	0.3971139258
98	0.396744752
99	0.396387342
100	0.3959628223
101	0.3956014228
102	0.3951401998
103	0.3948926654
104	0.3944950961
105	0.3941288632
106	0.3938229823
107	0.3936127759
108	0.3932895492
109	0.3929491907
110	0.3926904707
111	0.3924127844
112	0.3922193631
113	0.3918980598
114	0.3916008774
115	0.3913628549
116	0.3909849981
117	0.3905945925
118	0.3902911579
119	0.3901066729
120	0.3897309878
121	0.38941621
122	0.3890919434
123	0.3889580184
124	0.3887222192
125	0.3884042658
126	0.3881014591
127	0.3879436344
128	0.3877424499
129	0.3873570307
130	0.3870985963
131	0.3868426531
132	0.3865666007
133	0.3863553022
134	0.3861085425
135	0.3858846929
136	0.3855303354
137	0.3851727706
138	0.3849723765
139	0.3847866396
140	0.3845486147
141	0.3842248301
142	0.3840120618
143	0.3838334077
144	0.3836289571
145	0.3835307035
146	0.3833155888
147	0.3831190112
148	0.3829090053
149	0.3826644931
150	0.3825509264
151	0.3823608766
152	0.3820832044
153	0.3817851386
154	0.3814945855
155	0.381282133
156	0.381133135
157	0.3810065078
158	0.3807900912
159	0.3805594687
160	0.3802799629
161	0.3800467838
162	0.3798502491
163	0.3796465589
164	0.3795000135
165	0.3792152875
166	0.3788930781
167	0.3787523742
168	0.3783881164
169	0.3782242629
170	0.3780529401
171	0.3778994964
172	0.3775713771
173	0.3774557289
174	0.3772494889
175	0.3770550822
176	0.3769089571
177	0.3767739629
178	0.3765412008
179	0.3763245677
180	0.3761827341
181	0.3760228338
182	0.3757914033
183	0.3756077318
184	0.3753484969
185	0.3752098692
186	0.3749439247
187	0.3748256228
188	0.3748052563
189	0.3746428317
190	0.3745954987
191	0.3744344848
192	0.374173583
193	0.3740562401
194	0.3738543845
195	0.3736888533
196	0.3734863295
197	0.3734339701
198	0.3732781048
199	0.3731171345
200	0.3729094932
201	0.3728003695
202	0.3726201382
203	0.3724642983
204	0.3722922031
205	0.3721001475
206	0.3720303124
207	0.371840057
208	0.3717277903
209	0.3715381762
210	0.3713049068
211	0.3711223519
212	0.3709536117
213	0.3708012666
214	0.3706201201
215	0.3704088548
216	0.3702337356
217	0.3701075913
218	0.3699823629
219	0.3697770638
220	0.3696029127
221	0.3694146708
222	0.3692047224
223	0.3690037808
224	0.3689107768
225	0.3686080455
226	0.3684923864
227	0.3683096317
228	0.3681420412
229	0.3680457726
230	0.3679050058
231	0.3676930653
232	0.3675713841
233	0.3674966037
234	0.367290854
235	0.3671508444
236	0.3670450437
237	0.3668844724
238	0.3666372451
239	0.366539844
240	0.3664254818
241	0.3663701591
242	0.3662442063
243	0.3660656205
244	0.3658982959
245	0.3657104308
246	0.3654900546
247	0.3653413077
248	0.3652468285
249	0.3650348908
250	0.3649253412
251	0.3647785794
252	0.3645070304
253	0.3642509203
254	0.3641185568
255	0.3640048494
256	0.3638416797
257	0.3636689808
258	0.3634983573
259	0.363367018
260	0.3632222692
261	0.3631100343
262	0.3629522359
263	0.3627380701
264	0.3625371451
265	0.3624386391
266	0.3622618935
267	0.362124635
268	0.3620345697
269	0.3618676259
270	0.3616073194
271	0.3615915344
272	0.3614538394
273	0.361289796
274	0.3611319074
275	0.3609224436
276	0.3607503432
277	0.3606834616
278	0.3605268893
279	0.3604158134
280	0.3603362113
281	0.360143732
282	0.3599540905
283	0.3598510664
284	0.3597468992
285	0.3595858901
286	0.3594130589
287	0.3593407538
288	0.3591586599
289	0.3590513475
290	0.3589086068
291	0.358800312
292	0.3587122648
293	0.3586624907
294	0.3585288331
295	0.3583902205
296	0.3582722076
297	0.3581529168
298	0.3580987142
299	0.3579464955
300	0.3578286642
301	0.3576641736
302	0.3575958314
303	0.3574748647
304	0.3572910471
305	0.3570969967
306	0.3569917729
307	0.3568505942
308	0.35674253
309	0.3566317244
310	0.3563960716
311	0.3563057617
312	0.3561247238
313	0.3560091606
314	0.3558273698
315	0.3557151715
316	0.3556318905
317	0.3555057232
318	0.3553100687
319	0.355140652
320	0.3549767527
321	0.3548248653
322	0.3546577986
323	0.3545349891
324	0.3544689431
325	0.3542422092
326	0.3541444509
327	0.3540330092
328	0.3539306908
329	0.3537033527
330	0.3534848231
331	0.3533734276
332	0.3531376543
333	0.3529081481
334	0.3527502846
335	0.352625752
336	0.3525355256
337	0.3523851395
338	0.3522187931
339	0.3521404193
340	0.3519914464
341	0.3519270764
342	0.3518242794
343	0.3517394494
344	0.3516888098
345	0.3515596923
346	0.3514164227
347	0.3513129722
348	0.3512247846
349	0.3510759381
350	0.3509272219
351	0.3507393643
352	0.3505424302
353	0.35034003
354	0.3502608239
355	0.3500438268
356	0.3499446907
357	0.3498601831
358	0.3496183668
359	0.3494689617
360	0.3493655615
361	0.3491550915
362	0.3490020963
363	0.3488214017
364	0.3486149484
365	0.3482910815
366	0.3481859716
367	0.3480092424
368	0.3479286574
369	0.3478401673
370	0.3476262395
371	0.3475520762
372	0.347415862
373	0.3472399081
374	0.3470409291
375	0.346978323
376	0.3468952296
377	0.3467222113
378	0.3466576438
379	0.3465616308
380	0.3465034962
381	0.3463610806
382	0.3462404334
383	0.3461057939
384	0.346006906
385	0.3458439638
386	0.3457348463
387	0.3455423272
388	0.3454512174
389	0.3453070635
390	0.3451925789
391	0.3450574731
392	0.3449291039
393	0.3448072632
394	0.3448073424
395	0.3447217692
396	0.3445667723
397	0.3444227334
398	0.3441832887
399	0.34410793
400	0.3439762421
401	0.3438834882
402	0.3438097306
403	0.3437506164
404	0.3435584715
405	0.3433681945
406	0.3432233806
407	0.3431553335
408	0.3430265304
409	0.3429194382
410	0.3427905697
411	0.3426208992
412	0.342436939
413	0.3423312715
414	0.3421813234
415	0.3419914342
416	0.3418766125
417	0.3417619557
418	0.3416722344
419	0.3415772362
420	0.3414202714
421	0.3412794182
422	0.3411870726
423	0.341014763
424	0.3408614974
425	0.3407167611
426	0.3404899273
427	0.3403662639
428	0.3401052426
429	0.3399540044
430	0.3398634957
431	0.3397982573
432	0.3396423168
433	0.3394446004
434	0.339284291
435	0.3391346612
436	0.3389735949
437	0.3388572488
438	0.338700752
439	0.3385635493
440	0.3384126773
441	0.3382242493
442	0.3380243125
443	0.3379201758
444	0.3378063407
445	0.337662349
446	0.3375850395
447	0.3374476637
448	0.3373389551
449	0.3372274252
450	0.3371111285
451	0.3370051336
452	0.3369311708
453	0.3367846841
454	0.336616046
455	0.3364778637
456	0.3363698321
457	0.3361975454
458	0.3360696611
459	0.3359826971
460	0.3358009316
461	0.3356864933
462	0.3354702248
463	0.3353366638
464	0.3352333513
465	0.3350952857
466	0.3350052391
467	0.3347985893
468	0.3346564456
469	0.3345158346
