iter	Passed	Remaining
0	3	3247
1	5	2887
2	8	2803
3	10	2728
4	13	2717
5	16	2765
6	19	2741
7	22	2733
8	24	2727
9	27	2759
10	30	2774
11	33	2754
12	36	2750
13	38	2729
14	41	2718
15	44	2716
16	46	2715
17	49	2700
18	52	2685
19	54	2671
20	57	2659
21	59	2643
22	62	2637
23	64	2631
24	67	2626
25	69	2617
26	72	2611
27	75	2611
28	77	2608
29	80	2606
30	83	2610
31	86	2609
32	88	2606
33	91	2601
34	94	2603
35	96	2593
36	99	2582
37	101	2573
38	104	2566
39	106	2560
40	108	2549
41	111	2538
42	113	2530
43	116	2523
44	118	2514
45	120	2508
46	123	2506
47	125	2498
48	128	2491
49	130	2484
50	133	2478
51	151	2763
52	154	2757
53	156	2747
54	159	2735
55	161	2723
56	163	2711
57	166	2702
58	168	2694
59	171	2689
60	174	2683
61	176	2674
62	179	2667
63	182	2666
64	185	2667
65	188	2664
66	190	2657
67	193	2649
68	196	2645
69	198	2642
70	201	2634
71	203	2626
72	206	2619
73	208	2613
74	211	2606
75	213	2599
76	216	2594
77	218	2587
78	221	2579
79	223	2573
80	241	2736
81	243	2727
82	245	2717
83	248	2709
84	251	2702
85	253	2695
86	256	2688
87	258	2682
88	261	2674
89	263	2668
90	266	2663
91	269	2660
92	272	2658
93	275	2654
94	278	2651
95	281	2647
96	284	2644
97	286	2641
98	289	2637
99	292	2636
100	295	2634
101	298	2630
102	301	2623
103	304	2620
104	306	2614
105	309	2608
106	311	2603
107	314	2598
108	317	2594
109	320	2592
110	323	2589
111	326	2584
112	328	2580
113	331	2577
114	334	2573
115	337	2569
116	339	2564
117	342	2558
118	344	2553
119	347	2548
120	350	2543
121	352	2538
122	355	2532
123	357	2527
124	360	2522
125	363	2518
126	365	2514
127	368	2508
128	371	2505
129	374	2504
130	377	2502
131	380	2499
132	382	2496
133	385	2491
134	388	2490
135	391	2489
136	394	2483
137	397	2480
138	399	2476
139	402	2472
140	405	2468
141	407	2465
142	410	2461
143	413	2458
144	415	2452
145	418	2449
146	421	2447
147	424	2444
148	427	2442
149	430	2438
150	433	2435
151	436	2433
152	438	2428
153	441	2425
154	444	2421
155	446	2417
156	449	2413
157	451	2408
158	454	2403
159	457	2399
160	460	2397
161	462	2394
162	465	2391
163	468	2390
164	472	2388
165	474	2385
166	477	2381
167	480	2379
168	483	2376
169	486	2373
170	488	2369
171	491	2367
172	494	2365
173	497	2362
174	500	2360
175	503	2356
176	506	2354
177	509	2351
178	512	2349
179	514	2344
180	517	2341
181	520	2337
182	522	2334
183	525	2331
184	528	2326
185	531	2324
186	533	2320
187	536	2315
188	537	2308
189	540	2304
190	542	2297
191	545	2294
192	547	2290
193	550	2287
194	553	2284
195	556	2280
196	558	2277
197	560	2272
198	563	2268
199	566	2264
200	568	2260
201	571	2257
202	573	2253
203	576	2249
204	579	2245
205	581	2240
206	583	2237
207	586	2233
208	589	2230
209	591	2226
210	594	2222
211	596	2218
212	599	2214
213	601	2210
214	604	2207
215	606	2202
216	609	2198
217	611	2195
218	614	2190
219	616	2187
220	619	2182
221	621	2178
222	624	2175
223	626	2171
224	629	2167
225	631	2164
226	634	2160
227	636	2156
228	639	2152
229	641	2148
230	644	2145
231	646	2141
232	649	2137
233	652	2134
234	654	2130
235	657	2127
236	659	2124
237	662	2120
238	664	2116
239	667	2113
240	669	2109
241	672	2106
242	675	2102
243	677	2099
244	679	2095
245	682	2091
246	684	2088
247	687	2084
248	689	2080
249	692	2077
250	694	2073
251	697	2069
252	700	2066
253	702	2063
254	705	2060
255	707	2057
256	710	2054
257	713	2051
258	715	2047
259	718	2044
260	721	2042
261	724	2039
262	726	2037
263	729	2033
264	732	2030
265	734	2027
266	736	2023
267	739	2020
268	741	2016
269	744	2012
270	746	2009
271	748	2003
272	751	2000
273	753	1997
274	756	1993
275	758	1990
276	761	1986
277	763	1983
278	766	1980
279	768	1976
280	771	1973
281	773	1970
282	776	1967
283	779	1964
284	782	1962
285	785	1959
286	788	1958
287	791	1955
288	793	1953
289	796	1949
290	798	1946
291	801	1943
292	803	1939
293	806	1936
294	808	1932
295	811	1929
296	813	1926
297	816	1922
298	818	1919
299	821	1916
300	823	1912
301	826	1909
302	828	1905
303	830	1902
304	833	1899
305	835	1895
306	838	1892
307	840	1889
308	843	1885
309	845	1882
310	848	1879
311	850	1876
312	853	1873
313	856	1870
314	858	1867
315	861	1865
316	864	1862
317	866	1859
318	869	1856
319	871	1852
320	874	1849
321	877	1846
322	879	1843
323	882	1840
324	884	1836
325	887	1834
326	889	1830
327	892	1827
328	894	1824
329	897	1821
330	899	1818
331	902	1815
332	904	1811
333	907	1808
334	909	1805
335	912	1802
336	914	1799
337	917	1796
338	920	1794
339	922	1790
340	924	1787
341	927	1785
342	930	1782
343	933	1779
344	936	1777
345	938	1774
346	941	1771
347	944	1768
348	946	1765
349	949	1762
350	951	1759
351	954	1756
352	956	1753
353	958	1749
354	961	1746
355	963	1743
356	966	1741
357	969	1738
358	971	1735
359	974	1732
360	977	1729
361	980	1727
362	983	1725
363	986	1722
364	988	1720
365	991	1717
366	994	1715
